"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.85423896511417,1.85423896511417,1.83906290116016,1.86130179983924,1.86746704575189,1.87145989942826,1.86746704575189,1.84815622572422,1.85708066733958
"2",0.001,1.85430287719479,1.85430287719479,1.83939369949655,1.86159244459984,1.86814563932882,1.87170740611931,1.86814563932882,1.84791185005425,1.85675510434121
"3",0.002,1.85436868289527,1.85436868289527,1.83972610390279,1.86188618902617,1.86882467704667,1.87195703753694,1.86882467704667,1.84766931861545,1.85643163666339
"4",0.003,1.85443636579667,1.85443636579667,1.84006009325212,1.86218300942149,1.86950413765263,1.8722087732991,1.86950413765263,1.8474286183774,1.85611025122025
"5",0.004,1.85450590945748,1.85450590945748,1.84039564637383,1.86248288204919,1.87018399988938,1.87246259299988,1.87018399988938,1.84718973629127,1.85579093490821
"6",0.005,1.85457729741397,1.85457729741397,1.84073274205367,1.86278578313324,1.87086424249581,1.87271847620994,1.87086424249581,1.84695265929008,1.85547367460627
"7",0.006,1.85465051318056,1.85465051318056,1.84107135903412,1.86309168885863,1.87154484420776,1.87297640247708,1.87154484420776,1.846717374289,1.85515845717636
"8",0.007,1.8547255402502,1.8547255402502,1.84141147601478,1.86340057537187,1.87222578375865,1.87323635132668,1.87222578375865,1.84648386818562,1.85484526946357
"9",0.008,1.85480236209473,1.85480236209473,1.84175307165266,1.86371241878142,1.87290703988028,1.87349830226222,1.87290703988028,1.84625212786026,1.8545340982965
"10",0.009,1.85488096216529,1.85488096216529,1.84209612456257,1.86402719515817,1.87358859130347,1.87376223476577,1.87358859130347,1.84602214017626,1.85422493048751
"11",0.01,1.85496132389265,1.85496132389265,1.84244061331742,1.86434488053589,1.87427041675882,1.87402812829846,1.87427041675882,1.84579389198024,1.85391775283309
"12",0.011,1.85504343068764,1.85504343068764,1.84278651644856,1.86466545091172,1.87495249497739,1.87429596230105,1.87495249497739,1.84556737010242,1.85361255211407
"13",0.012,1.85512726594149,1.85512726594149,1.84313381244617,1.86498888224663,1.87563480469145,1.87456571619436,1.87563480469145,1.84534256135693,1.85330931509601
"14",0.013,1.85521281302621,1.85521281302621,1.84348247975953,1.86531515046585,1.8763173246352,1.87483736937981,1.8763173246352,1.84511945254204,1.85300802852943
"15",0.014,1.855300055295,1.855300055295,1.84383249679743,1.86564423145939,1.87700003354544,1.87511090123989,1.87700003354544,1.84489803044052,1.85270867915018
"16",0.015,1.85538897608262,1.85538897608262,1.84418384192847,1.86597610108249,1.87768291016237,1.87538629113873,1.87768291016237,1.84467828181989,1.85241125367967
"17",0.016,1.85547955870576,1.85547955870576,1.84453649348143,1.86631073515609,1.87836593323028,1.87566351842251,1.87836593323028,1.84446019343275,1.85211573882525
"18",0.017,1.85557178646344,1.85557178646344,1.8448904297456,1.8666481094673,1.87904908149826,1.87594256242006,1.87904908149826,1.84424375201703,1.85182212128044
"19",0.018,1.8556656426374,1.8556656426374,1.84524562897112,1.86698819976987,1.87973233372097,1.8762234024433,1.87973233372097,1.84402894429634,1.85153038772531
"20",0.019,1.85576111049246,1.85576111049246,1.84560206936934,1.86733098178466,1.88041566865933,1.87650601778779,1.88041566865932,1.84381575698022,1.85124052482674
"21",0.02,1.85585817327695,1.85585817327695,1.8459597291132,1.86767643120013,1.8810990650813,1.87679038773321,1.88109906508129,1.84360417676449,1.85095251923872
"22",0.021,1.85595681422307,1.85595681422307,1.84631858633749,1.86802452367282,1.88178250176258,1.8770764915439,1.88178250176258,1.84339419033147,1.85066635760271
"23",0.022,1.85605701654728,1.85605701654728,1.84667861913928,1.8683752348278,1.88246595748739,1.87736430846935,1.88246595748739,1.84318578435038,1.85038202654789
"24",0.023,1.8561587634507,1.8561587634507,1.84703980557825,1.86872854025916,1.88314941104915,1.87765381774472,1.88314941104915,1.84297894547754,1.85009951269151
"25",0.024,1.85626203811952,1.85626203811952,1.847402123677,1.86908441553049,1.88383284125129,1.87794499859136,1.88383284125129,1.84277366035676,1.84981880263918
"26",0.025,1.85636682372536,1.85636682372536,1.84776555142148,1.86944283617535,1.88451622690794,1.87823783021733,1.88451622690794,1.84256991561958,1.8495398829852
"27",0.026,1.85647310342568,1.85647310342568,1.84813006676124,1.86980377769778,1.88519954684472,1.8785322918179,1.88519954684472,1.84236769788558,1.84926274031286
"28",0.027,1.85658086036419,1.85658086036419,1.84849564760988,1.87016721557275,1.88588277989947,1.87882836257608,1.88588277989947,1.84216699376274,1.84898736119474
"29",0.028,1.85669007767124,1.85669007767124,1.84886227184535,1.87053312524664,1.886565904923,1.87912602166315,1.88656590492301,1.84196778984766,1.84871373219306
"30",0.029,1.85680073846421,1.85680073846421,1.8492299173103,1.87090148213775,1.88724890077986,1.87942524823915,1.88724890077986,1.84177007272593,1.84844183985997
"31",0.03,1.85691282584792,1.85691282584792,1.84959856181248,1.87127226163677,1.88793174634907,1.87972602145343,1.88793174634907,1.8415738289724,1.84817167073787
"32",0.031,1.85702632291501,1.85702632291501,1.84996818312505,1.87164543910725,1.8886144205249,1.88002832044519,1.8886144205249,1.84137904515151,1.84790321135971
"33",0.032,1.8571412127464,1.8571412127464,1.85033875898696,1.87202098988613,1.88929690221765,1.88033212434395,1.88929690221765,1.84118570781759,1.84763644824936
"34",0.033,1.85725747841163,1.85725747841163,1.85071026710331,1.87239888928418,1.88997917035436,1.88063741227012,1.88997917035436,1.84099380351515,1.84737136792187
"35",0.034,1.85737510296931,1.85737510296931,1.85108268514569,1.87277911258653,1.89066120387965,1.88094416333554,1.89066120387965,1.84080331877922,1.84710795688384
"36",0.035,1.8574940694675,1.8574940694675,1.85145599075258,1.87316163505314,1.89134298175642,1.88125235664396,1.89134298175642,1.84061424013567,1.84684620163369
"37",0.036,1.85761436094415,1.85761436094415,1.85183016152966,1.87354643191927,1.89202448296665,1.88156197129162,1.89202448296665,1.84042655410146,1.84658608866203
"38",0.037,1.85773596042747,1.85773596042747,1.85220517505023,1.87393347839605,1.89270568651221,1.88187298636775,1.89270568651221,1.84024024718502,1.84632760445195
"39",0.038,1.8578588509364,1.8578588509364,1.85258100885553,1.87432274967088,1.89338657141559,1.88218538095515,1.89338657141559,1.84005530588654,1.84607073547939
"40",0.039,1.85798301548098,1.85798301548098,1.85295764045514,1.87471422090802,1.89406711672069,1.88249913413067,1.89406711672069,1.83987171669827,1.84581546821338
"41",0.04,1.85810843706276,1.85810843706276,1.8533350473273,1.875107867249,1.89474730149364,1.88281422496579,1.89474730149364,1.83968946610487,1.84556178911649
"42",0.041,1.85823509867527,1.85823509867527,1.85371320691935,1.87550366381322,1.89542710482352,1.88313063252717,1.89542710482352,1.8395085405837,1.84530968464503
"43",0.042,1.85836298330441,1.85836298330441,1.85409209664806,1.87590158569836,1.89610650582326,1.88344833587716,1.89610650582326,1.83932892660517,1.84505914124951
"44",0.043,1.85849207392886,1.85849207392886,1.85447169389998,1.87630160798096,1.89678548363031,1.88376731407436,1.89678548363031,1.83915061063302,1.84481014537484
"45",0.044,1.85862235352053,1.85862235352053,1.85485197603189,1.87670370571688,1.89746401740753,1.88408754617419,1.89746401740753,1.83897357912468,1.84456268346078
"46",0.045,1.85875380504498,1.85875380504498,1.8552329203711,1.87710785394184,1.89814208634396,1.88440901122941,1.89814208634396,1.83879781853158,1.84431674194221
"47",0.046,1.85888641146186,1.85888641146186,1.85561450421588,1.87751402767194,1.89881966965562,1.88473168829072,1.89881966965562,1.83862331529949,1.84407230724947
"48",0.047,1.85902015572533,1.85902015572533,1.85599670483583,1.87792220190414,1.89949674658635,1.88505555640726,1.89949674658635,1.83845005586883,1.84382936580875
"49",0.048,1.8591550207845,1.8591550207845,1.85637949947227,1.87833235161682,1.90017329640858,1.88538059462722,1.90017329640858,1.83827802667501,1.84358790404237
"50",0.049,1.85929098958389,1.85929098958389,1.8567628653386,1.8787444517703,1.90084929842422,1.88570678199839,1.90084929842422,1.83810721414877,1.84334790836916
"51",0.05,1.85942804506383,1.85942804506383,1.85714677962074,1.87915847730732,1.90152473196539,1.8860340975687,1.90152473196539,1.83793760471651,1.8431093652048
"52",0.051,1.85956617016096,1.85956617016096,1.85753121947751,1.87957440315366,1.90219957639534,1.88636252038686,1.90219957639534,1.83776918480063,1.84287226096217
"53",0.052,1.85970534780864,1.85970534780864,1.85791616204099,1.8799922042186,1.90287381110923,1.88669202950287,1.90287381110923,1.83760194081985,1.84263658205168
"54",0.053,1.85984556093742,1.85984556093742,1.85830158441699,1.88041185539547,1.90354741553502,1.88702260396861,1.90354741553502,1.83743585918959,1.84240231488168
"55",0.054,1.85998679247548,1.85998679247548,1.85868746368539,1.88083333156224,1.90422036913424,1.88735422283846,1.90422036913424,1.8372709263223,1.84216944585875
"56",0.055,1.86012902534913,1.86012902534913,1.85907377690061,1.88125660758203,1.90489265140292,1.88768686516987,1.90489265140292,1.83710712862779,1.84193796138809
"57",0.056,1.86027224248323,1.86027224248323,1.85946050109198,1.88168165830366,1.90556424187242,1.88802051002395,1.90556424187242,1.83694445251362,1.84170784787392
"58",0.057,1.86041642680169,1.86041642680169,1.85984761326418,1.88210845856224,1.90623512011027,1.88835513646606,1.90623512011027,1.83678288438543,1.84147909171978
"59",0.058,1.86056156122795,1.86056156122795,1.86023509039767,1.88253698317973,1.90690526572108,1.88869072356644,1.90690526572108,1.83662241064727,1.84125167932894
"60",0.059,1.86070762868543,1.86070762868543,1.8606229094491,1.88296720696546,1.90757465834742,1.88902725040081,1.90757465834742,1.83646301770206,1.84102559710477
"61",0.06,1.86085461209802,1.86085461209802,1.86101104735177,1.8833991047168,1.90824327767067,1.88936469605097,1.90824327767067,1.83630469195183,1.84080083145112
"62",0.061,1.86100249439061,1.86100249439061,1.86139948101606,1.88383265121966,1.90891110341194,1.88970303960545,1.90891110341194,1.83614741979819,1.84057736877268
"63",0.062,1.86115125848955,1.86115125848955,1.86178818732988,1.88426782124913,1.90957811533297,1.89004226016012,1.90957811533297,1.83599118764266,1.84035519547541
"64",0.063,1.86130088732315,1.86130088732315,1.86217714315912,1.88470458957007,1.91024429323707,1.89038233681883,1.91024429323707,1.83583598188707,1.84013429796689
"65",0.064,1.86145136382219,1.86145136382219,1.86256632534812,1.8851429309377,1.91090961696997,1.89072324869408,1.91090961696997,1.83568178893389,1.83991466265673
"66",0.065,1.86160267092048,1.86160267092048,1.86295571072012,1.88558282009825,1.91157406642084,1.89106497490763,1.91157406642083,1.83552859518672,1.83969627595698
"67",0.066,1.86175479155531,1.86175479155531,1.86334527607779,1.88602423178956,1.91223762152313,1.89140749459117,1.91223762152313,1.83537638705057,1.83947912428253
"68",0.067,1.86190770866804,1.86190770866804,1.86373499820363,1.88646714074171,1.91290026225561,1.89175078688702,1.91290026225561,1.83522515093236,1.83926319405151
"69",0.068,1.86206140520459,1.86206140520459,1.86412485386055,1.88691152167768,1.91356196864331,1.89209483094879,1.91356196864331,1.83507487324126,1.83904847168574
"70",0.069,1.86221586411604,1.86221586411604,1.86451481979231,1.88735734931402,1.91422272075843,1.89243960594204,1.91422272075843,1.83492554038913,1.83883494361111
"71",0.07,1.86237106835911,1.86237106835911,1.86490487272408,1.88780459836145,1.91488249872142,1.89278509104503,1.91488249872142,1.83477713879091,1.83862259625806
"72",0.071,1.86252700089679,1.86252700089679,1.86529498936292,1.88825324352563,1.91554128270189,1.89313126544938,1.91554128270189,1.83462965486511,1.83841141606198
"73",0.072,1.86268364469889,1.86268364469889,1.86568514639834,1.88870325950779,1.9161990529197,1.89347810836082,1.9161990529197,1.83448307503416,1.83820138946366
"74",0.073,1.86284098274259,1.86284098274259,1.86607532050287,1.88915462100545,1.91685578964591,1.89382559899991,1.91685578964591,1.83433738572491,1.83799250290978
"75",0.074,1.86299899801308,1.86299899801308,1.86646548833253,1.88960730271311,1.91751147320387,1.89417371660278,1.91751147320387,1.83419257336905,1.83778474285329
"76",0.075,1.86315767350413,1.86315767350413,1.86685562652752,1.89006127932304,1.91816608397023,1.8945224404219,1.91816608397023,1.83404862440357,1.83757809575398
"77",0.076,1.86331699221872,1.86331699221872,1.86724571171269,1.89051652552596,1.91881960237605,1.89487174972684,1.91881960237605,1.83390552527123,1.83737254807887
"78",0.077,1.86347693716965,1.86347693716965,1.86763572049822,1.89097301601185,1.91947200890786,1.89522162380506,1.91947200890786,1.83376326242103,1.83716808630276
"79",0.078,1.86363749138019,1.86363749138019,1.86802562948017,1.89143072547072,1.92012328410877,1.89557204196268,1.92012328410877,1.83362182230869,1.83696469690869
"80",0.079,1.86379863788472,1.86379863788472,1.86841541524116,1.89188962859337,1.92077340857958,1.89592298352534,1.92077340857958,1.83348119139714,1.83676236638843
"81",0.08,1.86396035972939,1.86396035972939,1.86880505435098,1.89234970007224,1.92142236297991,1.89627442783901,1.92142236297991,1.83334135615704,1.83656108124306
"82",0.081,1.86412263997283,1.86412263997283,1.86919452336724,1.89281091460224,1.92207012802939,1.89662635427084,1.92207012802939,1.83320230306728,1.83636082798343
"83",0.082,1.86428546168679,1.86428546168679,1.86958379883609,1.8932732468816,1.92271668450878,1.89697874221,1.92271668450878,1.8330640186155,1.83616159313076
"84",0.083,1.8644488079569,1.8644488079569,1.86997285729286,1.89373667161272,1.92336201326125,1.89733157106862,1.92336201326125,1.83292648929864,1.83596336321711
"85",0.084,1.86461266188333,1.86461266188333,1.87036167526283,1.8942011635031,1.92400609519349,1.89768482028264,1.92400609519349,1.83278970162348,1.83576612478603
"86",0.085,1.86477700658161,1.86477700658161,1.87075022926192,1.89466669726626,1.92464891127707,1.89803846931277,1.92464891127707,1.83265364210722,1.8355698643931
"87",0.086,1.86494182518331,1.86494182518331,1.87113849579748,1.89513324762265,1.92529044254961,1.89839249764543,1.92529044254961,1.83251829727802,1.83537456860651
"88",0.087,1.86510710083688,1.86510710083688,1.87152645136904,1.89560078930064,1.92593067011613,1.8987468847937,1.92593067011613,1.83238365367565,1.83518022400766
"89",0.088,1.86527281670839,1.86527281670839,1.87191407246914,1.89606929703755,1.92656957515034,1.89910161029834,1.92656957515034,1.83224969785203,1.83498681719182
"90",0.089,1.86543895598238,1.86543895598238,1.87230133558414,1.89653874558059,1.927207138896,1.89945665372879,1.927207138896,1.8321164163719,1.83479433476874
"91",0.09,1.86560550186268,1.86560550186268,1.87268821719507,1.897009109688,1.92784334266826,1.89981199468422,1.92784334266826,1.83198379581343,1.83460276336328
"92",0.091,1.86577243757328,1.86577243757328,1.87307469377852,1.8974803641301,1.92847816785513,1.90016761279459,1.92847816785513,1.83185182276889,1.83441208961614
"93",0.092,1.8659397463592,1.8659397463592,1.87346074180755,1.89795248369037,1.92911159591882,1.90052348772179,1.92911159591882,1.83172048384532,1.83422230018448
"94",0.093,1.86610741148739,1.86610741148739,1.87384633775261,1.89842544316668,1.9297436083973,1.9008795991607,1.9297436083973,1.83158976566521,1.83403338174267
"95",0.094,1.86627541624768,1.86627541624768,1.87423145808252,1.89889921737239,1.93037418690572,1.90123592684041,1.93037418690572,1.83145965486723,1.833845320983
"96",0.095,1.8664437439537,1.8664437439537,1.87461607926547,1.89937378113762,1.93100331313801,1.90159245052537,1.93100331313801,1.83133013810694,1.83365810461645
"97",0.096,1.86661237794389,1.86661237794389,1.87500017777003,1.89984910931051,1.93163096886839,1.90194915001665,1.93163096886839,1.83120120205758,1.83347171937341
"98",0.097,1.86678130158248,1.86678130158248,1.87538373006628,1.90032517675849,1.93225713595302,1.90230600515317,1.93225713595302,1.83107283341078,1.83328615200452
"99",0.098,1.86695049826058,1.86695049826058,1.87576671262683,1.90080195836966,1.93288179633164,1.90266299581301,1.93288179633164,1.83094501887743,1.83310138928146
"100",0.099,1.8671199513972,1.8671199513972,1.87614910192803,1.90127942905413,1.93350493202923,1.90302010191476,1.93350493202923,1.83081774518845,1.83291741799777
"101",0.1,1.86728964444034,1.86728964444034,1.87653087445112,1.90175756374549,1.93412652515779,1.90337730341886,1.93412652515779,1.83069099909567,1.83273422496977
"102",0.101,1.86745956086819,1.86745956086819,1.87691200668347,1.90223633740227,1.93474655791809,1.90373458032905,1.93474655791809,1.83056476737266,1.83255179703738
"103",0.102,1.86762968419024,1.86762968419024,1.87729247511982,1.90271572500945,1.93536501260147,1.90409191269381,1.93536501260147,1.8304390368157,1.8323701210651
"104",0.103,1.8677999979485,1.8677999979485,1.87767225626364,1.90319570158008,1.93598187159177,1.90444928060787,1.93598187159177,1.83031379424463,1.83218918394291
