"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.18,1.2355178788583,2.72523418967983,2.72523418967983,2.75940718381052,1.16578051157669,2.73178493540005,1.22381997574205,3.05899083140318,1.20674647342252
"3",0.31,1.55232415652599,2.33170628385485,2.33170628385485,2.33496076225714,1.60407497041012,2.32502064955806,1.52345154847878,2.08359019931772,1.41851412550333
"4",0.32,2.98867699334965,3.14252303843979,3.14252303843979,3.1387910234526,2.99006103294488,3.14696725934461,2.96830490063498,3.09967085469191,2.81220045982646
"5",0.39,1.68453944532071,2.2695243068321,2.2695243068321,2.28959072540818,1.69209378148825,2.26325807686862,1.68314569400639,2.82691392192469,1.82545803144273
"6",0.47,2.15566250891749,2.46065340186517,2.46065340186517,2.46782094683206,2.16008007064908,2.46202692646365,2.16266079845691,2.62390401633488,2.14317567032492
"7",0.58,2.4775655573791,2.96495501446639,2.96495501446639,2.97906626625653,2.49206406263969,2.96491260625098,2.47371408448967,2.77367976818839,2.48267946102168
"8",0.62,2.60935252055388,3.05970136160574,3.05970136160574,3.05617760656458,2.60800151939802,3.06023990194274,2.60740224884962,2.7868635030899,2.50097192159955
