"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.90839883306499,1.90839883306499,1.908398833065,1.9410226444544,1.9410226444544,1.9410226444544,1.9410226444544,1.89167935031789,1.90084768314718
"2",0.11,1.87527568469857,1.9107586527942,1.90225523532702,1.89608710984039,1.87441875588187,1.90725528083457,1.8794736322654,1.89796268330776,1.89760983262804
"3",0.21,2.06649141876697,2.01270160424892,2.00486926220094,2.05880148953546,2.2505893673682,2.07382907344755,2.24288336022948,2.0026086317646,2.0103426400978
"4",0.35,2.38191427213053,2.37916341052034,2.43092873450209,2.46238438818997,2.50105356914616,2.40772894470291,2.38207890547462,2.22372586086789,2.21632190156742
"5",0.44,2.1126107760183,2.07664058526906,2.08694105769946,2.20467683422358,2.27770126377416,2.18368656251894,2.29316310783771,2.02698269059881,2.02369069269314
"6",0.46,2.05905286137326,2.00793898650729,1.94763349283748,1.97985936739797,2.05734173609535,1.97717119399338,2.10174571878008,1.92465638260731,1.93202745305384
"7",0.67,3.07542161098809,3.07537247799813,3.01377752836529,3.0337747068267,3.0807540129023,2.98932312983411,3.08252479078838,2.98851688410546,2.98685389206981
"8",0.7,2.43760687439166,2.2939934519095,2.29043597102443,2.272005384563,2.50895756123541,2.30464428516492,2.48644553564146,2.18272735232742,2.17959683218101
