"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,25.8765650710479,-10.8008583533311,-10.8008583533311,-10.9221821249126,16.3038435739569,-10.7446310746014,25.7619965897612,-1.46477618662928,7.00318094176427
"2",0.001,25.7705011110188,-10.7465548149465,-10.7465548149465,-10.8672552852526,16.2413395333311,-10.6906431040477,25.6565630374661,-1.44925575347205,6.98095398398763
"3",0.002,25.664662725143,-10.6923623744082,-10.6923623744082,-10.8124411386567,16.1789676577291,-10.6367654465473,25.5513534219803,-1.43377088198542,6.9587647833448
"4",0.003,25.5590499134322,-10.6382810339806,-10.6382810339806,-10.7577396872958,16.1167279411792,-10.5829981042752,25.4463677432306,-1.41832156850115,6.93661334368201
"5",0.004,25.4536626758998,-10.5843107959424,-10.5843107959424,-10.7031509333552,16.0546203776716,-10.5293410794201,25.3416060011448,-1.40290780932759,6.91449966886969
"6",0.005,25.3485010125604,-10.5304516625862,-10.5304516625862,-10.6486748790328,15.9926449611609,-10.4757943741838,25.2370681956516,-1.38752960074972,6.89242376280183
"7",0.006,25.2435649234278,-10.4767036362178,-10.4767036362178,-10.5943115265396,15.9308016855619,-10.4223579907811,25.1327543266784,-1.37218693902907,6.87038562939607
"8",0.007,25.1388544085202,-10.4230667191589,-10.4230667191589,-10.5400608781018,15.8690905447539,-10.3690319314419,25.028664394156,-1.35687982040324,6.84838527259547
"9",0.008,25.0343694678536,-10.3695409137434,-10.3695409137433,-10.4859229359572,15.8075115325761,-10.3158161984079,24.924798398013,-1.34160824108573,6.82642269636612
"10",0.009,24.9301101014476,-10.3161262223212,-10.3161262223212,-10.4318977023592,15.746064642831,-10.2627107939362,24.8211563381805,-1.32637219726609,6.80449790469969
"11",0.01,24.8260763093205,-10.2628226472555,-10.2628226472555,-10.3779851795734,15.6847498692804,-10.2097157202962,24.717738214588,-1.31117168510929,6.78261090161205
"12",0.011,24.7222680914938,-10.2096301909248,-10.2096301909248,-10.3241853698805,15.6235672056485,-10.1568309797727,24.6145440271677,-1.29600670075576,6.76076169114443
"13",0.012,24.618685447989,-10.1565488557221,-10.1565488557222,-10.2704982755751,15.5625166456194,-10.1040565746638,24.5115737758509,-1.28087724032109,6.73895027736329
"14",0.013,24.5153283788288,-10.1035786440548,-10.1035786440548,-10.2169238989655,15.5015981828379,-10.0513925072819,24.4088274605697,-1.26578329989603,6.71717666435988
"15",0.014,24.4121968840377,-10.050719558346,-10.050719558346,-10.163462242375,15.4408118109086,-9.99883877995419,24.3063050812576,-1.25072487554627,6.69544085625193
"16",0.015,24.30929096364,-9.99797160103293,-9.99797160103292,-10.1101133081406,15.380157523395,-9.94639539502145,24.2040066378468,-1.23570196331148,6.67374285718223
"17",0.016,24.206610617663,-9.94533477456886,-9.94533477456886,-10.0568770986146,15.3196353138211,-9.89406235483994,24.1019321302722,-1.2207145592064,6.65208267132006
"18",0.017,24.1041558461335,-9.89280908142172,-9.89280908142172,-10.0037536161632,15.259245175669,-9.84183966177996,24.0000815584678,-1.20576265921961,6.63046030286069
"19",0.018,24.0019266490806,-9.84039452407504,-9.84039452407504,-9.95074286316792,15.19898710238,-9.78972731822676,23.8984549223686,-1.19084625931385,6.60887575602579
"20",0.019,23.8999230265349,-9.78809110502858,-9.78809110502857,-9.89784484202554,15.1388610873536,-9.73772532658115,23.7970522219112,-1.17596535542542,6.5873290350642
"21",0.02,23.7981449785268,-9.73589882679637,-9.73589882679635,-9.84505955514658,15.0788671239467,-9.68583368925774,23.695873457031,-1.16111994346403,6.5658201442508
