"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.76833114286951,1.76833114286951,1.76833114286951,1.8894597132396,1.8894597132396,1.8894597132396,1.8894597132396,1.69117499646011,1.69145269115276
"2",0.18,1.77637003670991,1.77637003670991,1.8921554811324,1.94043279268444,1.82453898765078,1.93966040106082,1.82453898765078,1.7671904237812,1.77107225379208
"3",0.31,1.42452438544426,1.42452438544426,1.37421488159639,1.37918877286945,1.46420734771991,1.37894907893226,1.46420734771991,1.40817162209033,1.40813503452881
"4",0.32,2.10968848943175,2.10968848943175,2.14867637344995,2.17406020305997,2.10959505960691,2.13563047347091,2.10959505960691,2.06830568356383,2.07563117319668
"5",0.39,1.92926158992656,1.92926158992656,2.39091149644219,2.41995019042653,1.75352245427098,2.33562193725417,1.75352245427098,1.64517472097975,1.65274005915403
"6",0.47,1.66312890722787,1.66312890722787,2.00801062186359,2.13645794504257,1.79201328090032,2.0692865104121,1.79201328090032,1.60477180666391,1.60822044678578
"7",0.58,2.04740026375487,2.04740026375487,2.22130490140324,2.19224106936675,2.04594586893626,2.25576931141161,2.04594586893626,1.98991249492462,1.99584758219716
"8",0.62,1.89906659500696,1.89906659500696,1.55794744854448,1.56574507844301,1.89192224389676,1.60345299343501,1.89192224389676,1.54529122107044,1.53878485251822
