"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.60694480725117,1.60694480725117,1.60694480725117,1.61197071311981,1.61197071311981,1.61197071311981,1.61197071311981,1.45857293320207,1.78541947279127
"2",0.21,1.24511890734799,1.55530671689179,1.68782841500012,1.71911189015584,1.38188606025364,1.74378232900016,1.33786551174365,1.81704044476621,1.29037197393489
"3",0.31,1.37036315906874,1.87488919919042,1.8712139180598,1.89901434116072,1.40602964842626,1.86726894336775,1.40821175368559,1.91533251693803,1.25494056508508
"4",0.33,2.3944326713885,2.93332595738775,2.99412628334328,2.94845279683974,2.53194690101083,2.99692689704159,2.52222225071571,2.77060408867804,1.97731608349537
"5",0.54,1.64320250077351,2.0783586106683,2.23191799979597,2.30503683914693,1.68366982687,2.1985394550176,1.68333665389998,2.32082733826109,1.66710697355161
"6",0.53,1.49291402402416,1.51611411895917,2.03637176309226,2.01221827256705,1.44986247685726,2.03845314779014,1.47043463621775,1.89759022048085,1.34181391568126
"7",0.41,1.92339627585312,1.95533683328669,2.45286855292243,2.53135751052547,2.14722015810444,2.54578808515448,2.14944843058039,2.09636358715803,1.57663168775552
"8",0.67,1.85798861971377,1.98386637263725,2.09125624438306,2.12718211499568,1.88832425070868,2.07869839052807,1.88852926834861,2.10116953179817,1.88893744528408
