"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,-0.601570507616734,0.855371232053931,0.855371232053932,0.841718261045335,-0.676043793257666,0.818685607526966,-0.661784210485112,0.711878607173522,0.70452605920442
"2",0.001,-0.587313978509486,0.856349576521372,0.856349576521373,0.842886709268699,-0.661243724087351,0.820027450182302,-0.646887286361627,0.711506656283408,0.704219754610223
"3",0.002,-0.573103142570891,0.857326648782548,0.857326648782547,0.844052854936089,-0.646490511804998,0.821366361403597,-0.632038636925666,0.711142721974082,0.703921125297926
"4",0.003,-0.558937992441462,0.85830244464406,0.858302444644059,0.845216695061068,-0.631784148705467,0.822702338460847,-0.617238253865908,0.710786792294462,0.703630159691353
"5",0.004,-0.54481852071638,0.859276959884267,0.859276959884265,0.846378226636069,-0.61712462703815,0.824035378604507,-0.602486128818953,0.710438855216881,0.703346846140044
"6",0.005,-0.530744719945102,0.860250190253085,0.860250190253084,0.847537446632282,-0.602511939006589,0.825365479065369,-0.58778225336886,0.710098898636555,0.703071172918733
"7",0.006,-0.516716582631131,0.861222131471758,0.861222131471757,0.848694351999447,-0.587946076768253,0.826692637054367,-0.573126619046874,0.709766910371008,0.702803128226801
"8",0.007,-0.502734101231648,0.862192779232654,0.862192779232653,0.8498489396657,-0.573427032434194,0.828016849762445,-0.55851921733099,0.70944287815955,0.70254270018775
"9",0.008,-0.488797268157271,0.863162129199025,0.863162129199024,0.851001206537399,-0.558954798068806,0.829338114360381,-0.543960039645673,0.709126789662691,0.702289876848652
"10",0.009,-0.474906075771624,0.864130177004823,0.864130177004823,0.852151149498959,-0.544529365689446,0.830656427998636,-0.529449077361368,0.708818632461608,0.702044646179615
"11",0.01,-0.461060516391139,0.865096918254439,0.865096918254436,0.853298765412653,-0.530150727266205,0.83197178780718,-0.514986321794235,0.708518394057528,0.701806996073205
"12",0.011,-0.447260582284675,0.866062348522505,0.866062348522502,0.854444051118475,-0.51581887472158,0.833284190895339,-0.500571764205722,0.708226061871218,0.701576914343926
"13",0.012,-0.433506265673209,0.867026463353654,0.867026463353654,0.855587003433922,-0.501533799930169,0.834593634351615,-0.486205395802209,0.707941623242357,0.701354388727629
"14",0.013,-0.419797558729516,0.867989258262311,0.867989258262311,0.856727619153846,-0.487295494718359,0.835900115243538,-0.471887207734608,0.707665065428994,0.701139406880973
"15",0.014,-0.406134453577836,0.868950728732438,0.868950728732439,0.857865895050254,-0.473103950864031,0.837203630617472,-0.457617191097991,0.707396375606938,0.70093195638084
"16",0.015,-0.392516942293562,0.86991087021732,0.869910870217321,0.85900182787214,-0.458959160096243,0.838504177498463,-0.443395336931211,0.707135540869185,0.700732024723771
"17",0.016,-0.378945016902888,0.870869678139334,0.870869678139332,0.860135414345295,-0.444861114094915,0.839801752890065,-0.429221636216499,0.70688254822532,0.700539599325398
"18",0.017,-0.365418669382515,0.871827147889704,0.871827147889703,0.861266651172118,-0.430809804490538,0.84109635377416,-0.415096079879102,0.706637384600917,0.700354667519845
"19",0.018,-0.351937891659246,0.872783274828267,0.872783274828266,0.862395535031441,-0.416805222863805,0.84238797711079,-0.401018658786824,0.706400036836942,0.700177216559157
"20",0.019,-0.338502675609762,0.873738054283236,0.873738054283236,0.86352206257832,-0.402847360745388,0.843676619837964,-0.386989363749743,0.706170491689139,0.700007233612703
"21",0.02,-0.32511301306014,0.874691481550965,0.874691481550963,0.864646230443881,-0.388936209615487,0.844962278871515,-0.37300818551967,0.705948735827432,0.699844705766595
"22",0.021,-0.311768895785653,0.875643551895695,0.875643551895696,0.865768035235084,-0.375071760903646,0.846244951104879,-0.359075114789883,0.705734755835299,0.699689620023074
