"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.5402412382712,1.5402412382712,1.55120940935882,1.55669376511434,1.53822606292735,1.55694867939379,1.53822606292735,1.42400142170441,1.75107604719382
"2",0.001,1.5390938304062,1.5390938304062,1.54922323206113,1.55474474299448,1.53777968651615,1.555226294049,1.53777968651615,1.42323042686467,1.74821909851692
"3",0.002,1.53795799007177,1.53795799007177,1.54725795646078,1.55281695487619,1.53734454087693,1.5535240907355,1.53734454087693,1.42246959003477,1.74537347426032
"4",0.003,1.5368336886764,1.5368336886764,1.54531356065453,1.55091037939938,1.53692059517005,1.55184204838708,1.53692059517005,1.4217188968464,1.74253915923439
"5",0.004,1.53572089747693,1.53572089747693,1.54339002259391,1.54902499505678,1.5365078183802,1.55018014578885,1.5365078183802,1.42097833284738,1.73971613817437
"6",0.005,1.53461958757806,1.53461958757806,1.5414873200845,1.54716078019319,1.53610617931576,1.54853836157651,1.53610617931576,1.42024788350139,1.73690439574027
"7",0.006,1.53352972993193,1.53352972993193,1.53960543078518,1.54531771300466,1.53571564660815,1.54691667423546,1.53571564660815,1.41952753418759,1.73410391651666
"8",0.007,1.53245129533766,1.53245129533766,1.53774433220739,1.5434957715377,1.5353361887112,1.5453150621,1.5353361887112,1.41881727020033,1.73131468501254
"9",0.008,1.53138425444088,1.53138425444088,1.5359040017144,1.54169493368848,1.53496777390049,1.54373350335248,1.53496777390049,1.41811707674879,1.72853668566116
"10",0.009,1.53032857773329,1.53032857773329,1.53408441652052,1.539915177202,1.53461037027267,1.54217197602245,1.53461037027267,1.41742693895667,1.72576990281986
"11",0.01,1.52928423555224,1.52928423555224,1.53228555369042,1.53815647967131,1.53426394574487,1.54063045798584,1.53426394574487,1.41674684186186,1.72301432076991
"12",0.011,1.52825119808021,1.52825119808021,1.53050739013829,1.53641881853667,1.53392846805395,1.53910892696405,1.53392846805396,1.41607677041607,1.72026992371636
"13",0.012,1.52722943534444,1.52722943534444,1.52874990262715,1.53470217108476,1.53360390475593,1.53760736052315,1.53360390475593,1.41541670948455,1.71753669578785
"14",0.013,1.52621891721639,1.52621891721639,1.52701306776803,1.53300651444779,1.53329022322526,1.53612573607297,1.53329022322526,1.4147666438457,1.71481462103647
"15",0.014,1.52521961341137,1.52521961341137,1.52529686201925,1.53133182560273,1.53298739065418,1.53466403086625,1.53298739065418,1.41412655819077,1.71210368343761
"16",0.015,1.52423149348799,1.52423149348799,1.52360126168558,1.52967808137046,1.53269537405208,1.53322222199777,1.53269537405208,1.4134964371235,1.70940386688978
"17",0.016,1.52325452684781,1.52325452684781,1.52192624291753,1.52804525841488,1.53241414024478,1.53180028640345,1.53241414024478,1.41287626515978,1.70671515521446
"18",0.017,1.52228868273478,1.52228868273478,1.52027178171053,1.52643333324212,1.53214365587388,1.53039820085947,1.53214365587388,1.41226602672734,1.70403753215592
"19",0.018,1.52133393023486,1.52133393023486,1.51863785390413,1.52484228219967,1.53188388739608,1.52901594198136,1.53188388739608,1.41166570616533,1.70137098138111
