"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.60694480725117,1.60694480725117,1.60694480725117,1.61197071311981,1.61197071311981,1.61197071311981,1.61197071311981,1.45857293320207,1.78541947279127
"2",0.21,1.14776198079534,1.14776198079534,1.3155109657426,1.3470443542439,1.26881304642728,1.3814243920468,1.26881304642728,1.29287525764804,1.18194937117278
"3",0.31,1.36848858664498,1.36848858664498,1.36316209225278,1.41114730201262,1.4158186445984,1.36018415633012,1.4158186445984,1.37134559637355,1.20935668926588
"4",0.33,1.95627100365157,1.95627100365157,2.04701775880908,1.98754528620012,2.13394014645773,2.050401861778,2.13394014645773,1.82193305045434,1.60221071975341
"5",0.54,1.53315713615321,1.53315713615321,1.8669818951264,1.96974208755506,1.63229167875258,1.77896176977515,1.63229167875258,1.856343719441,1.58642319632399
"6",0.53,1.29358405698963,1.29358405698963,2.4005152147196,2.33260159590027,1.30189685059346,2.40375649724192,1.30189685059346,1.68072794223244,1.04955041208374
"7",0.41,1.7616867904324,1.7616867904324,2.60496089150993,2.74573875799191,2.14583751790437,2.76402863011376,2.14583751790438,1.89906819819272,1.30583506713386
"8",0.67,1.13877835522116,1.13877835522116,1.46420220899635,1.57450924862709,1.22683865350831,1.43028701525286,1.22683865350831,1.41604829674064,1.12666098409119
