"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,1.53048031024396,1.52614842438712,1.53313292189315,1.540820219009,1.53554302453863,1.54072225242419,1.53145340789462,1.42075593297023,1.74140628480848
"2",0.001,1.53019092035421,1.52877055656907,1.53557241781264,1.54326478511148,1.5360361549566,1.5433440898672,1.53175604112525,1.42428630678781,1.7393473210313
"3",0.002,1.52991216014574,1.53139280952469,1.53801578375526,1.54571326707948,1.53653759065385,1.54596906354162,1.53206823684158,1.42781188346904,1.73729954611556
"4",0.003,1.52964399672529,1.53401514712145,1.54046298781482,1.54816563435773,1.53704729922185,1.54859714295943,1.53238996085333,1.43133264589266,1.73526294092189
"5",0.004,1.52938639702478,1.53663753305455,1.54291399791694,1.55062185622693,1.53756524807198,1.55122829746699,1.53272117878147,1.43484857685616,1.73323748621086
"6",0.005,1.52913932780082,1.5392599308466,1.54536878181858,1.55308190180325,1.53809140443484,1.55386249624456,1.53306185605762,1.43835965907562,1.73122316264273
"7",0.006,1.52890275563415,1.54188230384735,1.54782730710752,1.55554574003782,1.53862573535974,1.55649970830577,1.53341195792339,1.4418658751856,1.72921995077714
"8",0.007,1.52867664692914,1.54450461523334,1.5502895412019,1.5580133397162,1.53916820771398,1.55913990249708,1.53377144942976,1.44536720773896,1.72722783107287
"9",0.008,1.52846096791327,1.54712682800766,1.55275545134971,1.56048466945794,1.5397187881823,1.56178304749724,1.53414029543646,1.44886363920675,1.72524678388753
"10",0.009,1.5282556846366,1.54974890499961,1.55522500462836,1.56295969771601,1.54027744326621,1.5644291118168,1.53451846061129,1.45235515197811,1.72327678947731
"11",0.01,1.52806076297128,1.55237080886443,1.55769816794412,1.56543839277634,1.54084413928342,1.56707806379753,1.53490590942951,1.45584172836006,1.72131782799669
"12",0.011,1.52787616861098,1.55499250208297,1.5601749080317,1.56792072275726,1.54141884236716,1.56972987161192,1.5353026061732,1.45932335057746,1.71936987949814
"13",0.012,1.5277018670704,1.55761394696145,1.56265519145371,1.57040665560905,1.54200151846558,1.57238450326263,1.5357085149306,1.46280000077281,1.71743292393187
"14",0.013,1.52753782368474,1.56023510563112,1.56513898460022,1.5728961591134,1.54259213334114,1.57504192658197,1.53612359959546,1.46627166100615,1.71550694114553
"15",0.014,1.52738400360917,1.562855940048,1.56762625368825,1.5753892008829,1.54319065256994,1.57770210923134,1.53654782386643,1.46973831325494,1.71359191088398
"16",0.015,1.52724037181831,1.5654764119926,1.57011696476128,1.57788574836054,1.54379704154112,1.58036501870073,1.53698115124637,1.47319993941392,1.71168781278892
"17",0.016,1.52710689310571,1.56809648306959,1.57261108368875,1.58038576881918,1.5444112654562,1.58303062230814,1.53742354504172,1.47665652129497,1.70979462639869
"18",0.017,1.52698353208329,1.57071611470759,1.57510857616561,1.58288922936107,1.54503328932847,1.58569888719906,1.53787496836186,1.48010804062704,1.70791233114798
"19",0.018,1.52687025318085,1.57333526815881,1.57760940771178,1.58539609691728,1.54566307798235,1.58836978034593,1.53833538411841,1.48355447905596,1.7060409063675
"20",0.019,1.52676702064554,1.57595390449882,1.5801135436717,1.58790633824724,1.54630059605271,1.5910432685476,1.53880475502462,1.48699581814434,1.70418033128375
"21",0.02,1.52667379854128,1.57857198462625,1.58262094921381,1.5904199199382,1.54694580798427,1.59371931842878,1.53928304359468,1.49043203937148,1.70233058501871
"22",0.021,1.52659055074829,1.58118946926252,1.58513158933006,1.59293680840471,1.54759867803095,1.59639789643946,1.5397702121431,1.49386312413321,1.70049164658958
"23",0.022,1.52651724096252,1.58380631895158,1.58764542883545,1.59545696988808,1.54825917025521,1.59907896885445,1.54026622278397,1.49728905374179,1.69866349490849
"24",0.023,1.5264538326951,1.58642249405958,1.59016243236747,1.5979803704559,1.54892724852738,1.60176250177271,1.54077103743036,1.50070980942575,1.69684610878219
"25",0.024,1.52640028927186,1.58903795477466,1.59268256438566,1.60050697600149,1.54960287652505,1.60444846111692,1.54128461779364,1.50412537232985,1.69503946691183
"26",0.025,1.52635657383274,1.59165266110664,1.59520578917108,1.60303675224339,1.55028601773239,1.60713681263282,1.54180692538278,1.50753572351488,1.6932435478926
"27",0.026,1.52632264933125,1.59426657288677,1.59773207082583,1.60556966472479,1.5509766354395,1.60982752188874,1.5423379215037,1.51094084395761,1.6914583302135
"28",0.027,1.52629847853397,1.59687964976743,1.60026137327253,1.60810567881307,1.55167469274171,1.61252055427497,1.54287756725859,1.51434071455062,1.68968379225703
"29",0.028,1.52628402401997,1.5994918512219,1.60279366025383,1.61064475969921,1.55238015253899,1.61521587500326,1.54342582354519,1.5177353161022,1.68791991229892
"30",0.029,1.52627924818027,1.60210313654405,1.60532889533189,1.61318687239729,1.55309297753522,1.61791344910621,1.54398265105617,1.52112462933627,1.68616666850783
"31",0.03,1.5262841132173,1.60471346484811,1.60786704188791,1.61573198174394,1.55381313023753,1.62061324143674,1.54454801027841,1.52450863489221,1.68442403894507
"32",0.031,1.52629858114435,1.60732279506838,1.61040806312158,1.61828005239781,1.55454057295566,1.62331521666748,1.54512186149229,1.52788731332479,1.68269200156431
"33",0.032,1.52632261378499,1.60993108595898,1.61295192205058,1.62083104883903,1.55527526780124,1.62601933929027,1.54570416477103,1.53126064510403,1.68097053421126
"34",0.033,1.52635617277258,1.61253829609356,1.6154985815101,1.62338493536866,1.55601717668713,1.62872557361551,1.54629487997998,1.5346286106151,1.67925961462346
"35",0.034,1.52639921954965,1.61514438386506,1.61804800415228,1.62594167610817,1.55676626132673,1.63143388377164,1.5468939667759,1.53799119015822,1.6775592204299
"36",0.035,1.52645171536735,1.61774930748546,1.62060015244573,1.62850123499885,1.5575224832333,1.63414423370452,1.5475013846063,1.5413483639485,1.67586932915077
"37",0.036,1.52651362128493,1.62035302498548,1.623154988675,1.63106357580131,1.55828580371926,1.63685658717689,1.54811709270869,1.54470011211591,1.67418991819718
"38",0.037,1.52658489816913,1.62295549421432,1.62571247494005,1.63362866209489,1.5590561838955,1.63957090776778,1.54874105010987,1.54804641470508,1.67252096487082
"39",0.038,1.52666550669364,1.62555667283944,1.62827257315574,1.63619645727715,1.55983358467067,1.64228715887186,1.54937321562526,1.55138725167527,1.67086244636371
"40",0.039,1.52675540733851,1.62815651834627,1.63083524505132,1.63876692456324,1.56061796675049,1.64500530369896,1.5500135478581,1.55472260290021,1.66921433975788
"41",0.04,1.5268545603896,1.63075498803794,1.63340045216986,1.64134002698542,1.56140929063703,1.64772530527337,1.55066200519882,1.558052448168,1.66757662202508
"42",0.041,1.526962925938,1.63335203903503,1.63596815586776,1.64391572739244,1.562207516628,1.65044712643333,1.55131854582422,1.561376767181,1.66594927002648
"43",0.042,1.52708046387942,1.63594762827533,1.63853831731421,1.64649398844903,1.56301260481605,1.65317072983036,1.55198312769681,1.56469553955578,1.66433226051234
"44",0.043,1.52720713391366,1.63854171251355,1.64111089749064,1.64907477263524,1.56382451508804,1.65589607792871,1.55265570856403,1.56800874482289,1.66272557012178
"45",0.044,1.52734289554399,1.64113424832108,1.64368585719019,1.65165804224598,1.56464320712428,1.65862313300472,1.55333624595751,1.5713163624269,1.66112917538238
"46",0.045,1.52748770807656,1.64372519208571,1.64626315701719,1.65424375939036,1.56546864039788,1.66135185714625,1.55402469719236,1.57461837172615,1.65954305270998
"47",0.046,1.52764153061983,1.64631450001141,1.64884275738657,1.65683188599115,1.56630077417393,1.66408221225199,1.55472101936635,1.57791475199277,1.65796717840826
"48",0.047,1.52780432208398,1.64890212811802,1.65142461852337,1.65942238378417,1.56713956750881,1.66681416003093,1.55542516935925,1.58120548241249,1.65640152866853
"49",0.048,1.52797604118027,1.65148803224104,1.65400870046215,1.66201521431776,1.56798497924944,1.6695476620017,1.55613710383196,1.58449054208456,1.65484607956939
"50",0.049,1.52815664642048,1.65407216803133,1.65659496304645,1.66461033895211,1.56883696803251,1.67228267949193,1.55685677922584,1.58776991002166,1.65330080707637
"51",0.05,1.52834609611629,1.65665449095487,1.65918336592825,1.66720771885875,1.56969549228375,1.67501917363764,1.55758415176186,1.59104356514977,1.65176568704169
"52",0.051,1.52854434837867,1.65923495629251,1.66177386856738,1.66980731501987,1.57056051021716,1.6777571053826,1.55831917743988,1.59431148630809,1.6502406952039
"53",0.052,1.52875136111726,1.66181351913971,1.66436643023097,1.6724090882278,1.57143197983425,1.6804964354777,1.55906181203784,1.59757365224891,1.64872580718758
"54",0.053,1.52896709203977,1.66439013440623,1.66696100999292,1.67501299908435,1.57230985892326,1.68323712448031,1.55981201111098,1.60083004163752,1.64722099850301
"55",0.054,1.52919149865135,1.66696475681595,1.66955756673327,1.67761900800022,1.57319410505838,1.6859791327536,1.56056972999104,1.60408063305211,1.64572624454586
"56",0.055,1.52942453825396,1.66953734090657,1.67215605913766,1.6802270751944,1.574084675599,1.68872242046596,1.56133492378546,1.60732540498366,1.64424152059686
"57",0.056,1.52966616794574,1.67210784102931,1.67475644569677,1.68283716069352,1.57498152768888,1.69146694759027,1.5621075473766,1.61056433583584,1.6427668018215
"58",0.057,1.52991634462038,1.67467621134874,1.67735868470569,1.68544922433126,1.57588461825538,1.69421267390327,1.56288755542089,1.61379740392489,1.64130206326967
"59",0.058,1.5301750249665,1.67724240584243,1.67996273426339,1.68806322574771,1.57679390400868,1.6969595589849,1.56367490234803,1.61702458747954,1.63984727987534
"60",0.059,1.53044216546698,1.67980637830075,1.68256855227209,1.69067912438875,1.57770934144092,1.69970756221766,1.56446954236019,1.62024586464091,1.63840242645625
"61",0.06,1.53071772239831,1.68236808232656,1.6851760964367,1.69329687950541,1.57863088682545,1.70245664278586,1.56527142943112,1.62346121346236,1.63696747771355
