"","MISSPROP","PS","CCS","MARG","SCI","SCIMI","MI","MIMI","PRAGMATIC_MU","PRAGMATIC_MC"
"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.11,2.96041242938906,3.28298486662207,3.28298486662207,3.27902734325789,2.9605299855412,3.27801289122778,3.00648340720959,3.28316488866282,3.27876474757091
"3",0.21,2.62033726584852,2.36419529195302,2.36419529195302,2.33545818937642,2.74143687810791,2.34983529929139,2.70474160601874,2.59163746836721,2.62906418140469
"4",0.35,3.11873553848926,3.11087593388875,3.11087593388875,3.10288253680072,3.39373459366024,3.11265022475579,3.05380698317013,2.90951020803963,2.89802945360062
"5",0.44,2.42005532882517,2.33830489530417,2.33830489530417,2.32458122980239,2.3981668894332,2.32009630803614,2.43330744412309,2.28513586590283,2.28545885353302
"6",0.46,2.37630500200097,2.26518788272712,2.26518788272712,2.26617678534551,2.37319712911379,2.26542595154935,2.46972752625451,2.26573579922284,2.27596264005675
"7",0.67,3.46408957086091,3.46401623804007,3.46401623804007,3.4633043028852,3.46476769473044,3.46393882219947,3.4674106467992,3.47734321473748,3.47343045261071
"8",0.7,2.77977695595806,2.57461492384069,2.57461492384069,2.57412676597405,2.75632186364421,2.57453061438575,2.72416182708143,2.49051372146987,2.48803986243439
